Age,Bonus,Department,Gender,ID,Location,Name,Performance_Score,Salary,Years_of_Experience
58,6291,HR,Female,1,Houston,Person_1,1.85,30301,24
48,3137,HR,Female,2,Houston,Person_2,1.12,39435,18
34,5445,HR,Male,3,NY,Person_3,3.61,96235,4
27,4530,Finance,Male,4,LA,Person_4,2.47,84240,18
40,2286,HR,Male,5,LA,Person_5,4.47,95726,5
58,8052,Sales,Female,6,Houston,Person_6,2.89,40492,27
38,4654,Marketing,Male,7,Chicago,Person_7,4.47,39435,16
42,8102,HR,Female,8,LA,Person_8,1.74,80336,1
30,3359,Sales,Female,9,Chicago,Person_9,4.47,56641,21
30,9105,Sales,Female,10,Houston,Person_1,4.47,64584,27
43,9636,Finance,Male,11,Houston,Person_11,4.08,62745,15
55,7441,Sales,Male,12,LA,Person_12,4.38,53093,9
59,6047,Sales,Female,13,LA,Person_13,4.04,96105,15
52,9227,Sales,Male,14,Chicago,Person_14,3.5,81885,17
22,6203,Sales,Male,15,NY,Person_15,1.52,66631,25
52,6291,IT,Male,16,LA,Person_16,1.13,34014,24
21,6291,IT,Female,17,NY,Person_17,4.68,41093,4
43,6495,Finance,Male,18,Houston,Person_1,3.47,48070,12
49,7284,HR,Male,19,LA,Person_19,4.19,65777,27
57,8285,Sales,Female,20,LA,Person_20,2.93,86958,26
21,2300,HR,Male,21,NY,Person_21,1.47,40729,5
40,7869,HR,Male,22,Chicago,Person_22,4.47,75017,29
52,4097,Finance,Male,23,NY,Person_23,3.74,96320,5
31,5616,Sales,Male,24,LA,Person_1,2.72,57751,11
52,1009,Sales,Female,25,LA,Person_25,1.8,84748,28
44,6752,Marketing,Female,26,Chicago,Person_26,2.97,35801,6
46,7295,HR,Female,27,LA,Person_27,1.26,49190,7
47,5815,HR,Male,28,Houston,Person_28,3.33,79689,24
35,6291,IT,Male,29,LA,Person_1,4.47,80993,14
34,4225,Marketing,Male,30,LA,Person_30,4.19,59592,24
22,2316,HR,Female,31,LA,Person_1,2.24,40647,11
56,6699,IT,Male,32,NY,Person_32,2.82,38716,13
26,6291,IT,Female,33,LA,Person_33,1.05,32368,2
40,7674,Finance,Female,1,Chicago,Person_34,4.47,36655,27
28,4683,Finance,Female,35,NY,Person_35,2.57,85766,7
52,6291,IT,Female,36,Chicago,Person_36,2.92,43403,20
37,4273,Marketing,Male,37,LA,Person_1,3.4,62097,4
23,8000,HR,Female,38,LA,Person_38,2.17,40966,27
44,1145,Marketing,Male,39,Houston,Person_39,3.78,82921,27
33,6010,Sales,Male,1,NY,Person_40,4.44,39435,20
28,4040,HR,Female,41,LA,Person_41,4.12,80300,29
45,1482,HR,Male,42,Houston,Person_42,1.16,52677,22
21,4179,HR,Male,1,NY,Person_43,2.92,85609,21
39,2249,Sales,Female,44,LA,Person_44,1.42,86661,19
47,1630,Sales,Male,45,LA,Person_45,1.97,61024,13
26,9853,IT,Male,46,NY,Person_46,4.95,83006,14
27,3852,Finance,Female,47,NY,Person_47,1.57,45338,10
54,1987,Finance,Female,48,NY,Person_48,3,98027,11
33,8622,Marketing,Female,49,LA,Person_49,3.47,49508,2
36,8327,IT,Male,50,LA,Person_50,3.81,33051,25
55,9841,IT,Male,51,LA,Person_51,4.47,78747,26
59,2100,IT,Male,1,Chicago,Person_1,1.04,84021,9
23,7652,IT,Female,53,NY,Person_53,2.31,96412,17
21,9632,Finance,Female,54,LA,Person_1,3.07,88335,26
25,6291,Finance,Male,55,LA,Person_55,1.35,86179,3
23,6016,IT,Female,56,NY,Person_56,2.4,62093,24
48,1769,Marketing,Female,57,Chicago,Person_57,1.13,99678,6
37,2343,HR,Female,58,NY,Person_58,1.31,39435,27
45,5358,HR,Female,59,Chicago,Person_59,2.59,47019,5
53,7780,Marketing,Male,60,LA,Person_60,1.53,58251,22
29,7602,IT,Male,61,Chicago,Person_61,3.27,55945,15
55,3349,Finance,Female,62,Houston,Person_62,3.76,62217,23
33,6699,HR,Male,63,LA,Person_63,4.2,38308,17
50,6291,Sales,Female,64,Houston,Person_64,1.8,35949,9
34,2125,Sales,Male,1,NY,Person_65,1.67,81990,3
27,7764,Marketing,Female,66,NY,Person_66,1.42,31150,20
33,6101,IT,Male,1,NY,Person_67,4.47,96617,27
42,8843,HR,Female,1,Chicago,Person_68,3.83,39435,17
59,1072,HR,Male,69,LA,Person_69,1.13,76175,29
52,6472,HR,Female,70,NY,Person_70,4.74,37805,27
52,6189,Marketing,Male,71,NY,Person_71,1.21,35237,10
37,3472,Marketing,Female,72,LA,Person_72,3.17,50056,3
43,1707,HR,Male,1,NY,Person_73,4.47,75543,27
45,2804,IT,Male,74,Houston,Person_74,4.47,86556,18
44,7704,Sales,Female,75,LA,Person_75,3.86,33343,17
48,4713,IT,Female,76,LA,Person_76,4.21,43500,24
34,6291,Sales,Male,77,LA,Person_77,2.36,83222,3
52,3475,Finance,Female,78,Houston,Person_1,4.26,59375,3
44,4610,Finance,Male,79,LA,Person_79,1.32,39662,6
26,5255,Finance,Male,80,Houston,Person_80,4.58,46964,13
28,8397,Finance,Male,81,LA,Person_81,3.19,89638,24
43,2735,HR,Female,82,Chicago,Person_82,4.27,97215,29
20,9258,Finance,Male,83,NY,Person_83,2.81,99042,15
27,8979,Marketing,Male,84,Chicago,Person_84,3.57,39435,25
43,3428,HR,Female,1,NY,Person_85,3.11,39435,9
52,6291,HR,Female,86,Houston,Person_86,3.93,39435,4
36,9533,Finance,Female,87,Chicago,Person_87,1.33,84340,14
27,6291,Finance,Female,88,LA,Person_88,4.47,74078,27
54,6291,Finance,Male,89,NY,Person_89,1.99,81293,2
54,3817,Sales,Male,90,LA,Person_90,1.64,39435,11
52,4874,IT,Male,91,Chicago,Person_91,4.47,59124,9
24,5211,Sales,Male,92,Houston,Person_92,4.47,73919,24
58,1661,IT,Female,1,Chicago,Person_1,4.9,65247,3
47,4374,Finance,Male,94,Houston,Person_94,2.35,39435,27
52,6291,Finance,Male,95,Houston,Person_95,1.73,86573,28
52,3665,Sales,Female,96,NY,Person_96,4.16,89101,29
27,3493,HR,Male,97,Chicago,Person_97,3.63,39435,27
31,7813,IT,Male,98,Chicago,Person_98,2.99,53049,3
53,1632,Marketing,Male,99,Houston,Person_99,3.22,98385,25
52,4083,IT,Male,100,Chicago,Person_100,3.88,70158,2
42,4719,Sales,Male,101,LA,Person_101,1.91,95417,12
52,8123,Sales,Male,102,LA,Person_102,4.99,53289,10
56,2679,HR,Female,103,LA,Person_1,4.9,39823,9
54,1236,Sales,Female,104,Chicago,Person_104,3.6,90160,15
59,8446,HR,Male,105,Houston,Person_105,1.8,39435,8
41,5443,Marketing,Male,106,LA,Person_106,3.72,39540,25
46,7770,IT,Female,107,LA,Person_107,1.29,39435,5
54,7099,IT,Male,108,NY,Person_108,1.12,34611,11
